Prediction Image,Ground Truth Image,IoU
129_81_10b,129-81 10b.tif,0.8462421932949994
129_81_10c,129-81 10c.tif,0.8137531122227073
129_81_1a,129-81 1a.tif,0.6557276415564034
129_81_1b,129-81 1b.tif,0.7833169368375922
129_81_2a,129-81 2a.tif,0.7648192362026787
129_81_2b,129-81 2b.tif,0.7092689620758483
129_81_2c,129-81 2c.tif,0.8542970007339163
129_81_3a,129-81 3a.tif,0.8036790021908282
129_81_3b,129-81 3b.tif,0.7517172667882518
129_81_3c,129-81 3c.tif,0.8568489684543763
129_81_4a,129-81 4a.tif,0.7350737129406244
129_81_4c,129-81 4c.tif,0.8123471578416418
129_81_5a,129-81 5a.tif,0.7630330144174653
129_81_5b,129-81 5b.tif,0.8031377942839646
129_81_5c,129-81 5c.tif,0.8032511248604917
129_81_6a,129-81 6a.tif,0.816629816661138
129_81_6b,129-81 6b.tif,0.832568629575546
129_81_6c,129-81 6c.tif,0.8772372281897839
129_81_7a,129-81 7a.tif,0.8527611119233783
129_81_7b,129-81 7b.tif,0.8431904347266315
129_81_7c,129-81 7c.tif,0.7039891912830951
129_81_8a,129-81 8a.tif,0.7855502247197098
129_81_8b,129-81 8b.tif,0.7156061710069181
129_81_8c,129-81 8c.tif,0.7853904752561917
129_81_9b,129-81 9b.tif,0.7954126741939723
129_81_9c,129-81 9c.tif,0.7848545894237119
129_81_10a,129_81_10a.tif,0.8215072158645831
129_81_1c,129_81_1c.tif,0.8602974809903835
129_81_4b,129_81_4b.tif,0.7685600730311506
129_81_9a,129_81_9a.tif,0.8053487365219113
181_81_10a,181-81 10a.tif,0.795691703425574
181_81_10c,181-81 10c.tif,0.7784325039996045
181_81_1a,181-81 1a.tif,0.7662727032667789
181_81_1b,181-81 1b.tif,0.7804764516303759
181_81_2a,181-81 2a.tif,0.6682424842867601
181_81_2b,181-81 2b.tif,0.8025955090170656
181_81_3a,181-81 3a.tif,0.7191448662630829
181_81_3b,181-81 3b.tif,0.7835778412959176
181_81_3c,181-81 3c.tif,0.820622886372637
